CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,2,-,-,-,-,-,"1,000",301.75,318.00,"1,500",920.00,"2,500",0.20,3.00,500,-,-,-,-,-,2,
,-,-,-,-,-,-,"1,000",262.15,277.60,"1,500",960.00,"1,000",0.35,3.00,500,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,000",210.90,246.55,"1,000","1,000.00","1,000",0.35,3.00,500,-,-,-,-,-,-,
,3,-,-,-,-,-,"1,000",201.25,217.80,"1,500","1,020.00","1,000",0.50,2.80,"7,500",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,000",170.85,204.75,"1,000","1,040.00","3,000",0.95,1.15,"1,000",0.05,1.00,32.50,19,1,42,
,-,-,-,-,-,-,"1,000",162.65,177.75,"1,000","1,060.00",500,1.20,1.60,500,-3.75,1.25,30.56,26,25,29,
,7,-,-,-,-,-,"1,000",143.50,159.25,"1,000","1,080.00",500,1.05,3.30,500,-0.95,1.60,28.70,3,1,15,
,-,-,-,-,-,-,"1,000",132.80,149.90,"1,000","1,090.00","3,000",0.10,3.90,500,-,-,-,-,-,-,
,11,-,-,-,-,-,"1,000",123.95,136.00,500,"1,100.00",500,2.25,2.50,"1,500",-0.90,2.40,27.70,156,48,181,
,-,-,-,-,-,-,"1,500",113.90,146.70,500,"1,110.00",-,-,21.35,"7,500",-,-,-,-,-,-,
,3,-,-,-,-,-,"1,000",105.35,120.50,"1,000","1,120.00",500,3.40,3.60,"1,000",-1.45,3.55,26.66,52,-12,43,
,-,-,-,-,-,-,"1,500",95.15,125.45,"20,000","1,130.00",-,-,10.55,"7,500",-,-,-,-,-,-,
,3,-,-,-,-,-,"1,000",87.00,102.30,"1,000","1,140.00",500,5.05,5.30,"1,500",-1.70,5.40,25.89,77,8,103,
,-,-,-,-,-,-,"1,000",77.65,96.55,"1,000","1,150.00",500,4.75,9.10,"7,500",-,-,-,-,-,-,
,11,-,-,-,-,-,"1,000",70.55,82.25,"1,000","1,160.00",500,7.60,8.00,500,-3.10,8.05,25.12,75,9,47,
,-,-,-,-,-,-,"1,000",62.35,74.70,"1,000","1,170.00",500,9.10,10.15,500,-9.05,9.20,24.13,14,-,7,
,36,2,19,14.99,57.05,5.05,500,59.80,61.50,500,"1,180.00",500,11.55,12.15,500,-5.90,12.45,24.99,79,22,55,
,-,-,-,-,-,-,"1,500",43.70,64.25,"1,000","1,190.00","20,000",8.20,22.50,"20,000",-16.40,9.00,19.18,1,-,-,
,183,-84,522,20.32,46.90,6.55,500,46.00,46.65,500,"1,200.00",500,17.05,17.80,500,-5.95,17.40,24.01,246,-8,218,
,-,-,-,-,-,-,-,-,66.65,"1,000","1,210.00","1,500",10.10,29.80,"1,500",-,-,-,-,-,-,
,445,-218,"1,204",20.07,34.10,3.95,500,34.10,34.50,"1,000","1,220.00",500,25.15,25.75,500,-6.45,25.80,24.46,339,62,236,
,21,-,62,20.18,28.85,-3.60,500,28.65,29.25,500,"1,230.00",500,29.40,42.15,"20,000",-12.90,31.70,25.40,107,-,-,
,215,116,830,20.21,24.10,2.65,500,21.40,24.65,500,"1,240.00",500,35.10,40.50,"2,000",-7.25,36.00,24.76,108,49,63,
,-,-,2,21.58,21.65,-2.95,"20,000",13.85,31.40,"1,500","1,250.00",500,40.20,44.50,500,-19.95,36.75,21.05,7,-,5,
,188,30,252,20.85,17.00,2.20,500,16.50,17.05,"1,000","1,260.00",500,47.00,48.60,500,-10.65,47.50,24.62,35,12,15,
,7,-,12,20.46,13.35,-4.90,500,7.90,14.05,500,"1,270.00","1,500",45.90,60.95,"1,500",-,-,-,-,-,-,
,117,28,144,20.81,11.05,0.60,500,11.05,11.50,500,"1,280.00",500,60.95,62.65,500,-103.25,61.65,25.22,13,6,6,
,-,-,-,-,-,-,"20,000",2.85,14.85,500,"1,290.00","1,500",58.15,78.80,"1,500",-,-,-,-,-,-,
,112,41,185,21.58,7.60,0.40,500,7.50,7.90,500,"1,300.00",500,75.95,79.65,500,-83.10,72.50,21.02,12,5,5,
,-,-,-,-,-,-,-,-,11.70,"7,500","1,310.00","1,000",72.75,100.45,"1,000",-,-,-,-,-,-,
,110,39,113,22.07,5.00,-,500,4.80,5.05,500,"1,320.00","1,000",86.70,102.00,"1,000",-,-,-,-,-,1,
,-,-,-,-,-,-,-,-,7.30,"7,500","1,330.00","1,000",92.75,114.70,"1,000",-,-,-,-,-,-,
,-,-,1,21.23,2.55,-6.05,500,2.50,4.70,500,"1,340.00","1,000",105.10,120.50,"1,500",-,-,-,-,-,-,
,142,80,200,23.27,2.20,-0.85,"1,000",2.10,2.25,500,"1,360.00","1,000",123.80,139.25,"1,000",-,-,-,-,-,-,
,-,-,1,22.27,1.00,-4.25,500,0.75,2.70,"7,500","1,380.00","1,000",143.10,158.70,"1,500",-,-,-,-,-,-,
,19,-,5,25.57,1.25,0.05,500,1.05,1.35,500,"1,400.00","1,000",162.60,177.80,"1,000",-,-,-,-,-,-,
