CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"2,100",146.65,155.00,"1,400",720.00,"2,100",0.90,1.05,"1,400",-0.05,1.05,38.23,272,-125,120,
,-,-,-,-,-,-,"2,100",127.20,137.75,"1,400",740.00,700,1.30,1.95,700,-0.70,1.35,35.20,145,-36,137,
,-,-,-,-,-,-,"2,100",116.90,126.25,"2,100",750.00,"1,400",1.10,2.60,"10,500",-21.95,1.15,31.82,1,1,1,
,14,1,4,-,98.00,11.00,700,109.15,112.15,700,760.00,"1,400",2.05,2.20,700,-1.25,2.05,33.26,606,59,350,
,3,-,-,-,78.00,-,"9,100",98.30,104.00,"7,000",770.00,700,2.55,2.65,700,-1.55,2.60,32.51,175,-3,100,
,1,-,-,-,66.80,-,"7,000",88.95,95.20,"7,000",780.00,700,3.15,3.25,"1,400",-2.30,3.15,31.40,604,2,258,
,13,-,-,-,60.25,-,"1,400",80.35,84.60,"7,000",790.00,700,3.95,4.05,"1,400",-2.95,3.95,30.58,248,-10,112,
,447,10,415,22.86,73.35,18.05,700,73.60,75.10,700,800.00,"13,300",5.00,5.05,700,-3.70,5.00,29.87,"3,545",318,"1,022",
,52,15,63,24.52,65.25,18.30,"7,000",62.70,65.65,700,810.00,"1,400",6.25,6.35,700,-4.70,6.30,29.17,"1,297",583,703,
,52,-2,82,24.51,56.95,17.00,700,56.70,57.30,700,820.00,700,8.05,8.15,700,-5.80,8.00,28.61,"1,347",415,683,
,193,65,465,24.67,49.25,16.00,700,48.95,49.60,700,830.00,700,10.05,10.25,"2,100",-6.95,10.20,28.22,"1,569",613,833,
,694,56,"1,465",24.66,42.00,14.50,700,41.85,42.25,"1,400",840.00,"2,100",12.85,13.00,700,-8.35,12.95,27.94,"1,497",86,709,
,"1,487",273,"4,045",24.81,35.50,13.40,700,35.30,35.50,700,850.00,700,16.15,16.35,700,-10.00,16.30,27.76,"2,582",510,"1,292",
,992,63,"3,925",24.83,29.55,11.55,"28,700",29.50,29.65,700,860.00,"1,400",20.15,20.35,"1,400",-11.25,20.30,27.66,"1,900",238,854,
,982,602,"3,894",24.82,24.25,9.95,700,24.10,24.25,"10,500",870.00,700,24.85,25.10,700,-12.90,24.85,27.50,"1,136",-19,302,
,901,316,"2,987",25.01,19.80,8.50,700,19.70,19.85,"6,300",880.00,"1,400",30.10,30.50,700,-14.15,30.55,27.94,642,145,942,
,275,120,778,25.15,15.95,7.10,"2,100",15.90,16.10,700,890.00,700,36.40,36.75,700,-14.40,36.55,28.07,51,28,47,
,"4,009","1,453","6,438",25.45,12.85,5.85,"1,400",12.80,12.85,"3,500",900.00,700,43.15,43.50,700,-18.65,43.45,28.60,"1,167",318,771,
,193,35,677,25.60,10.15,4.65,700,10.10,10.25,700,910.00,"7,000",47.85,53.45,"7,000",-,66.40,-,-,-,6,
,"1,307",955,"1,854",25.77,7.95,3.65,"1,400",7.95,8.05,700,920.00,"7,000",53.25,61.30,"7,000",-,84.50,-,-,-,14,
,210,93,475,26.14,6.30,2.85,"1,400",6.30,6.40,700,930.00,"1,400",59.95,69.70,"2,100",-,-,-,-,-,-,
,595,316,"1,196",26.47,4.95,2.25,"2,100",4.90,5.00,700,940.00,"4,200",70.10,75.65,700,-20.60,76.50,32.80,39,22,32,
,395,161,749,27.66,3.25,1.40,"3,500",3.20,3.25,"1,400",960.00,700,93.00,96.15,700,-19.95,93.60,33.48,13,4,16,
,280,163,333,28.51,2.05,0.75,700,1.70,2.15,"2,100",980.00,"1,400",107.30,115.40,"2,100",-,135.00,-,-,-,5,
,227,26,164,30.19,1.50,0.50,700,1.40,1.50,"2,100","1,000.00","1,400",125.90,134.50,"2,100",-,158.00,-,-,-,9,
