CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,9,-,-,39.13,-,-,"1,200",300.05,315.30,800,"1,320.00",400,0.70,0.85,"1,600",-0.35,0.80,36.05,29,6,38,
,43,-,-,-,-,-,"1,200",260.55,276.10,800,"1,360.00",400,1.00,1.15,800,-0.15,1.15,33.35,85,3,233,
,45,-,-,22.68,-,-,"4,000",221.25,233.75,"4,000","1,400.00",800,1.40,1.55,"1,200",-0.50,1.40,29.70,655,134,"1,393",
,-,-,-,-,-,-,800,182.75,230.80,800,"1,420.00","2,000",1.75,1.85,800,-0.35,1.80,28.61,139,48,332,
,12,-,-,-,-,-,800,182.10,197.65,800,"1,440.00",400,2.20,2.45,400,-0.40,2.30,27.47,215,107,457,
,3,-,-,-,-,-,800,163.25,178.65,800,"1,460.00","1,200",3.05,3.15,"1,200",-0.05,3.20,26.81,716,284,706,
,32,-10,14,22.24,151.00,-16.00,400,149.60,150.80,400,"1,480.00",800,4.25,4.40,"1,200",-0.15,4.30,25.97,884,277,"1,061",
,371,2,89,22.00,132.45,-8.10,400,130.50,132.35,400,"1,500.00","1,200",6.05,6.20,"1,200",-0.05,6.15,25.60,"1,225",100,"1,552",
,111,-,9,19.58,112.80,-5.50,400,113.10,115.35,400,"1,520.00",800,8.60,8.70,400,0.30,8.70,25.29,"1,235",190,881,
,73,-3,42,23.00,99.00,-3.90,800,97.50,98.75,400,"1,540.00","4,800",12.05,12.15,400,0.30,12.05,24.97,"1,274",149,881,
,147,4,53,21.89,82.05,-7.35,400,82.40,83.05,400,"1,560.00",400,16.50,16.65,"1,200",0.55,16.60,24.81,"1,394",217,"2,168",
,112,31,143,21.86,67.60,-6.00,"2,000",68.05,68.70,400,"1,580.00",400,22.05,22.20,800,0.65,21.95,24.40,"1,482",168,"1,332",
,"1,761",481,"2,108",22.47,55.70,-4.50,"1,200",55.40,55.80,400,"1,600.00","9,200",29.10,29.25,400,0.70,29.10,24.32,"3,680",304,"2,561",
,"1,496",620,"4,315",22.28,44.10,-4.60,400,44.05,44.35,400,"1,620.00",400,37.50,37.80,800,1.00,37.50,24.14,"2,841",470,"2,900",
,"1,993",491,"4,057",22.32,34.50,-4.30,"4,400",34.40,34.50,400,"1,640.00",400,47.60,47.85,400,1.95,47.85,24.23,"1,902",205,"1,460",
,"5,057","3,035","7,870",22.09,26.00,-4.30,"1,200",26.00,26.20,"1,200","1,660.00",400,59.30,59.80,400,1.90,59.60,24.29,723,-96,762,
,"1,680",555,"2,652",22.38,19.85,-3.30,800,19.65,19.85,400,"1,680.00",400,72.40,73.35,400,3.25,73.40,24.78,122,-20,743,
,"4,218","1,199","5,342",22.51,14.75,-2.90,800,14.70,14.75,400,"1,700.00",400,87.00,87.85,400,3.50,87.95,25.01,107,-16,677,
,"1,074",42,"1,726",22.49,10.60,-2.70,"1,200",10.60,10.80,"1,600","1,720.00",400,103.05,104.25,400,1.75,103.75,25.40,61,25,140,
,"1,088",257,"1,925",22.62,7.60,-2.25,"2,400",7.65,7.75,"3,200","1,740.00",400,119.65,121.30,400,7.65,121.65,26.86,21,17,84,
,"1,022",-1,"1,652",22.97,5.55,-1.80,"4,000",5.50,5.65,"2,400","1,760.00","8,000",135.30,142.20,"8,000",-,-,27.47,-,-,136,
,659,-68,920,23.35,4.05,-1.40,800,4.00,4.05,400,"1,780.00","4,000",151.95,162.20,"4,000",-,-,-,-,-,1,
,"2,294",412,"2,362",23.74,2.95,-1.20,"2,000",2.95,3.00,"2,000","1,800.00",400,174.50,176.05,400,1.65,172.55,25.01,65,17,324,
,519,178,450,24.02,2.10,-0.85,800,2.10,2.20,"1,200","1,820.00",800,184.15,200.00,"1,200",-,-,-,-,-,-,
,"1,269",474,902,24.34,1.50,-0.75,"1,200",1.45,1.55,"1,200","1,840.00","8,000",207.90,218.95,"2,800",-,-,25.78,-,-,92,
,495,-71,262,26.43,1.10,-0.55,800,1.00,1.10,"1,600","1,880.00",400,249.00,255.30,400,23.00,260.00,43.93,8,-2,39,
,324,20,150,28.26,0.80,-0.10,"1,200",0.65,0.80,"6,800","1,920.00",800,270.90,319.55,800,-,-,-,-,-,4,
