CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"20,000",182.55,217.30,"1,000",880.00,"4,500",0.25,2.20,500,-,1.70,-,-,-,1,
,-,-,-,-,-,-,"4,000",175.05,187.15,"1,000",900.00,500,1.30,2.05,500,0.20,2.20,42.15,1,1,8,
,-,-,-,-,-,-,"1,500",156.85,168.40,"1,500",920.00,"2,000",1.00,3.55,500,-,12.40,-,-,-,1,
,-,-,-,-,-,-,"1,500",137.25,148.45,"1,000",940.00,"4,500",1.25,4.00,"1,500",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,131.60,"1,000",960.00,500,4.60,4.95,500,0.55,4.90,36.77,69,21,126,
,3,-,-,-,135.55,-,"1,000",101.85,112.25,"1,000",980.00,"4,500",5.35,8.00,500,0.65,7.20,36.25,28,7,17,
,5,1,1,-,89.05,-1.95,500,86.05,92.30,500,"1,000.00",500,8.80,11.20,500,-1.05,10.00,35.31,317,78,422,
,-,-,-,-,-,-,-,-,79.60,"1,000","1,020.00",500,7.05,17.55,"3,000",-0.80,14.00,34.73,18,8,12,
,7,3,11,23.66,59.05,-8.80,500,55.60,64.00,500,"1,040.00",500,19.10,23.00,"1,000",-0.45,20.00,34.97,51,6,78,
,6,3,5,24.54,45.90,-2.25,500,43.80,49.70,500,"1,060.00",500,26.55,32.00,500,-0.15,26.50,34.31,79,18,40,
,187,92,202,25.93,35.65,-1.25,500,35.05,37.80,500,"1,080.00",500,34.70,39.80,500,-0.50,36.75,35.64,89,16,119,
,567,74,558,26.68,26.85,-1.80,500,26.00,27.65,"2,000","1,100.00","1,000",45.05,47.80,500,-1.30,47.20,35.77,57,4,235,
,147,27,96,28.35,21.00,-0.90,500,20.15,24.00,"1,500","1,120.00","1,000",54.65,66.00,"1,500",-,63.30,-,-,-,2,
,163,3,164,28.46,15.00,-2.30,500,15.00,15.60,"1,000","1,140.00","1,000",70.60,80.50,"4,000",-,76.00,-,-,-,7,
,-,-,-,-,-,-,500,8.80,14.80,"1,000","1,160.00",-,-,115.85,"20,000",-,-,-,-,-,-,
,3,3,9,31.09,8.95,-42.15,500,3.65,17.25,"1,000","1,180.00","1,000",102.75,115.55,"1,500",-,-,-,-,-,-,
,400,58,159,31.93,6.70,-0.05,500,6.55,7.00,500,"1,200.00",500,122.15,130.70,500,-2.05,125.00,43.75,4,-,51,
,5,4,8,31.70,4.45,-0.90,"1,500",1.85,8.35,"20,000","1,220.00","1,000",138.10,150.35,"4,000",-,-,-,-,-,-,
,28,1,9,33.51,3.75,0.20,500,3.65,4.10,"2,000","1,240.00","1,000",156.35,167.50,"1,000",-,148.50,-,-,-,3,
,22,-,-,-,3.25,-,"4,500",1.10,3.95,"1,500","1,260.00","1,500",175.25,186.15,"1,500",-,-,-,-,-,-,
,-,-,-,-,-,-,"4,500",0.55,5.15,"7,500","1,280.00","1,500",193.85,207.20,"1,500",-,198.00,-,-,-,9,
