CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,3,-,-,-,498.00,-,600,497.20,518.70,200,"2,000.00",200,4.10,4.70,200,-1.75,4.75,47.79,160,28,196,
,2,1,2,56.13,470.00,25.00,200,449.45,470.40,200,"2,050.00","1,800",1.30,7.25,200,-,-,-,-,-,-,
,1,-,2,51.12,420.55,20.50,200,408.20,413.95,200,"2,100.00",200,6.65,7.20,200,-2.75,6.95,42.34,272,20,331,
,-,-,-,-,-,-,600,381.85,413.40,600,"2,120.00","2,800",1.45,14.90,"3,000",-,-,-,-,-,-,
,-,-,-,-,-,-,600,351.95,377.95,400,"2,150.00",200,8.30,8.70,600,-4.15,8.65,39.79,53,4,53,
,-,-,-,-,-,-,600,343.55,375.75,600,"2,160.00","2,800",1.85,17.75,600,-,-,-,-,-,-,
,-,-,-,-,-,-,600,305.05,330.00,600,"2,200.00",200,11.10,11.45,200,-5.45,11.25,37.61,624,-12,865,
,-,-,-,-,-,-,600,285.60,323.65,200,"2,220.00",-,-,25.20,"1,600",-,-,-,-,-,-,
,-,-,-,-,-,-,600,265.10,308.65,600,"2,240.00",-,-,52.00,"3,000",-,-,-,-,-,-,
,10,-,-,-,248.80,-,600,259.10,277.05,"1,000","2,250.00",200,14.70,15.15,200,-6.30,15.15,35.75,161,3,160,
,-,-,-,-,-,-,600,248.90,287.70,200,"2,260.00",-,-,32.25,400,-,-,-,-,-,-,
,-,-,-,-,-,-,400,229.20,271.65,400,"2,280.00",-,-,35.60,200,-,-,-,-,-,-,
,80,15,22,38.44,235.35,21.10,200,222.90,226.75,200,"2,300.00",200,20.50,21.15,200,-9.20,20.85,34.14,743,25,788,
,-,-,-,-,-,-,600,195.20,235.95,600,"2,320.00",-,-,43.15,200,-,-,-,-,-,-,
,-,-,-,-,-,-,600,176.10,219.60,600,"2,340.00",-,-,47.25,800,-,-,-,-,-,-,
,25,-5,14,32.84,186.50,11.50,200,182.95,185.00,200,"2,350.00",200,29.50,30.00,200,-12.45,29.85,33.18,372,15,199,
,-,-,-,-,-,-,600,164.70,201.50,600,"2,360.00",-,-,51.60,200,-,-,-,-,-,-,
,-,-,-,-,-,-,600,144.50,189.25,400,"2,380.00",-,-,56.25,200,-,-,-,-,-,-,
,383,-25,265,31.12,147.05,7.25,200,145.85,147.65,200,"2,400.00",400,42.35,42.90,200,-14.75,42.50,32.48,"1,375",22,"1,513",
,-,-,-,-,-,-,600,118.45,161.75,400,"2,420.00",-,-,66.30,200,-,-,-,-,-,-,
,-,-,-,-,-,-,600,107.75,148.15,400,"2,440.00",-,-,71.70,200,-,-,-,-,-,-,
,354,-6,596,30.61,114.00,2.35,200,114.00,115.15,200,"2,450.00",200,59.75,60.40,200,-17.45,60.40,32.35,883,-28,434,
,23,23,79,31.69,111.00,-44.45,200,108.15,109.60,"1,000","2,460.00",-,-,109.00,"8,000",-,-,-,-,-,-,
,56,56,220,30.96,98.05,-48.00,200,97.25,98.45,200,"2,480.00",200,72.60,73.50,200,-80.05,72.25,31.89,531,136,136,
,"1,522",215,"5,785",31.05,88.00,0.45,200,87.35,88.00,200,"2,500.00",200,82.25,83.15,400,-19.30,83.10,32.36,"1,985",265,"1,258",
,166,166,"1,104",30.95,78.20,-50.25,200,78.30,78.95,400,"2,520.00",200,92.80,94.05,200,-80.40,94.10,32.61,174,72,72,
,-,-,-,-,-,-,200,22.60,79.65,400,"2,540.00",200,104.25,105.80,200,-80.50,105.70,32.82,30,16,16,
,"1,258",204,"2,980",31.29,66.20,-1.40,200,66.20,66.95,200,"2,550.00",200,110.40,111.85,200,-21.20,112.40,33.16,131,-15,540,
,-,-,-,-,-,-,600,46.50,74.65,400,"2,560.00",600,94.25,135.00,600,-71.95,126.40,36.19,1,1,1,
,-,-,-,-,-,-,600,43.85,69.90,400,"2,580.00",-,-,148.70,600,-,-,-,-,-,-,
,"3,288",36,"3,666",32.18,50.40,-1.75,200,50.15,50.40,200,"2,600.00",200,143.65,145.15,200,-20.70,145.10,33.71,189,-32,797,
,-,-,-,-,-,-,600,31.20,61.10,400,"2,620.00",-,-,212.55,400,-,-,-,-,-,-,
,-,-,-,-,-,-,600,31.20,57.00,400,"2,640.00",600,156.30,189.40,600,-,-,-,-,-,-,
,"1,016",-64,"1,086",32.78,37.50,-2.05,200,37.55,39.25,200,"2,650.00",400,180.70,185.45,200,-26.70,182.50,34.73,7,-3,115,
,-,-,-,-,-,-,600,21.40,53.15,400,"2,660.00",600,166.90,208.35,600,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,49.50,400,"2,680.00",600,187.00,224.05,600,-,-,-,-,-,-,
,"1,699",-30,"1,634",33.55,28.00,-1.70,800,27.70,28.00,800,"2,700.00",200,220.10,222.30,200,-23.80,219.90,34.43,55,21,230,
,-,-,-,-,-,-,600,14.25,42.90,400,"2,720.00",600,218.50,256.25,600,-,-,-,-,-,-,
,836,310,938,34.26,20.75,-1.60,200,20.25,20.80,200,"2,750.00","1,200",248.70,273.70,600,-4.50,279.75,-,-,-,18,
,-,-,-,-,-,-,600,9.05,37.30,"3,000","2,760.00",600,253.35,291.00,600,-,-,-,-,-,-,
,"2,365",91,"1,479",35.01,15.40,-1.65,200,15.35,15.50,200,"2,800.00",200,305.65,311.70,400,-19.65,313.95,40.72,2,1,763,
,-,-,-,-,-,-,600,5.15,31.25,"3,000","2,840.00",600,329.55,378.20,400,-,-,-,-,-,-,
,114,-32,273,36.18,11.95,-1.30,400,11.45,11.75,200,"2,850.00",600,339.65,364.20,600,-,379.35,-,-,-,4,
,582,185,452,36.50,8.50,-1.40,200,8.40,8.70,200,"2,900.00","2,000",393.95,410.10,"2,000",-,428.70,-,-,-,135,
,1,-,-,-,6.70,-,200,5.40,9.55,"3,000","2,950.00",600,433.50,460.35,600,-,476.95,-,-,-,17,
,"1,155",114,747,38.36,5.00,-1.50,200,5.00,5.30,400,"3,000.00",200,493.85,503.45,200,-64.90,463.10,-,1,1,66,
,"2,637",46,228,41.36,3.60,-0.35,200,3.30,3.60,200,"3,100.00","2,000",581.55,607.80,"2,800",-0.75,620.00,-,-,-,304,
