CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,20,9,12,-,"2,211.00",176.00,195,"2,214.95","2,403.35","1,495","24,000.00",520,2.60,2.70,130,-,2.65,19.69,"5,325","2,292","3,707",
,1,-,1,25.00,"2,180.60",-79.75,"1,495","1,940.55","2,335.20","1,495","24,050.00","1,300",2.25,3.45,"2,600",-0.75,2.35,19.00,39,-1,4,
,1,-,1,24.73,"2,131.60",-79.75,"1,495","1,896.85","2,285.60","1,495","24,100.00",65,2.60,3.20,195,-0.35,2.60,18.82,47,13,90,
,1,-,2,-,"1,932.15",-230.20,650,"1,853.55","2,125.15",650,"24,150.00","1,105",2.30,3.80,"2,600",-16.60,5.40,20.29,158,9,9,
,1,-,1,23.48,"2,031.05",-83.50,650,"1,836.95","2,193.45",650,"24,200.00",325,2.60,3.40,390,0.45,3.40,18.64,198,45,89,
,1,-,1,22.97,"1,981.20",-81.70,650,"1,787.10","2,127.00",650,"24,250.00","2,600",2.30,4.90,65,-,-,-,-,-,-,
,2,1,2,23.76,"1,936.70",120.05,650,"1,742.55","2,043.35",650,"24,300.00","1,300",2.45,3.95,910,-,-,-,-,-,-,
,1,-,1,22.47,"1,883.55",114.85,650,"1,689.40","1,997.70",650,"24,350.00","1,300",2.60,4.90,65,-30.95,3.25,17.27,10,-,-,
,1,-,1,22.19,"1,834.70",214.80,650,"1,640.55","1,953.45",650,"24,400.00",390,3.10,3.80,65,-0.25,3.85,17.24,119,33,72,
,1,-,1,17.80,"1,772.25",104.10,650,"1,578.20","1,960.10",650,"24,450.00","1,560",2.80,5.40,130,-,-,-,-,-,-,
,20,18,36,18.91,"1,726.55",171.05,130,"1,718.95","1,776.10",65,"24,500.00",390,2.85,4.40,325,-0.50,3.25,16.02,"5,902",960,"3,558",
,1,-,1,20.23,"1,683.40",112.35,650,"1,489.25","1,846.70","1,495","24,550.00",780,3.20,4.60,65,0.50,4.35,16.24,100,-12,54,
,3,2,3,18.24,"1,627.85",239.40,65,"1,434.25","1,747.30",650,"24,600.00",325,3.70,4.90,65,0.95,4.45,15.86,569,112,181,
,1,-,1,19.40,"1,584.65",244.80,65,"1,391.65","1,727.60",65,"24,650.00",650,3.50,4.80,65,-4.50,3.50,14.91,141,29,31,
,4,-,1,17.95,"1,530.75",202.10,65,"1,337.80","1,797.65","1,495","24,700.00",780,3.80,4.45,"3,250",-0.15,4.45,14.99,"1,425",382,503,
,1,-,1,18.35,"1,484.90",241.90,"1,495","1,269.30","1,658.05","1,495","24,750.00",650,3.90,4.85,195,-0.25,5.15,14.87,94,22,26,
,20,17,42,15.54,"1,425.95",199.45,260,"1,417.25","1,444.40",650,"24,800.00","1,755",4.35,4.85,520,-0.50,4.85,14.30,"3,057",97,827,
,1,-,1,17.40,"1,385.70",238.85,650,"1,356.95","1,395.65",130,"24,850.00",260,4.60,5.45,260,0.55,5.45,14.11,562,72,99,
,3,-,1,16.95,"1,336.25",208.70,650,"1,308.00","1,344.55",130,"24,900.00",390,4.50,6.05,195,0.05,5.65,13.74,"6,491",906,"2,005",
,1,-,1,16.44,"1,286.50",109.90,130,"1,266.50","1,290.50",130,"24,950.00",780,4.60,6.20,"2,080",-0.35,6.20,13.48,697,123,199,
,533,143,363,10.75,"1,220.10",189.20,"1,365","1,210.05","1,254.85","1,365","25,000.00",260,5.45,6.40,390,-0.25,6.30,13.06,"22,150","4,565","10,016",
,2,-,1,15.61,"1,188.15",218.15,130,"1,167.25","1,197.20",130,"25,050.00",780,5.50,6.60,455,-1.25,6.30,12.60,"1,516",299,488,
,18,14,16,-,"1,073.15",128.65,130,"1,120.00","1,284.95","1,495","25,100.00","1,560",5.50,6.75,130,-130.80,6.65,12.25,"5,086","1,457","1,457",
,8,6,8,14.00,"1,085.45",170.95,130,"1,070.40","1,237.15",65,"25,150.00",650,5.55,9.85,"1,300",-2.00,7.40,12.00,"1,781",489,670,
,27,3,8,10.86,"1,024.40",186.40,130,"1,025.50","1,047.60",390,"25,200.00",130,6.85,7.95,"1,430",-2.30,7.60,11.58,"12,552","2,032","4,662",
,2,1,2,14.13,993.50,102.90,130,815.45,"1,131.40",130,"25,250.00",780,7.50,8.40,520,-166.10,8.40,11.31,"1,183",170,170,
,15,13,23,11.96,933.40,-80.90,130,927.75,944.60,130,"25,300.00",65,8.55,9.70,195,-3.60,9.05,10.98,"24,699","2,282","6,476",
,2,1,2,12.77,892.20,86.75,"1,495",724.00,"1,052.50","1,495","25,350.00",780,9.00,16.50,650,-,-,-,-,-,-,
,619,251,353,10.95,834.00,174.30,390,812.25,843.70,650,"25,400.00",260,10.05,11.25,260,-6.05,11.25,10.43,"27,775","2,058","8,342",
,3,-,1,9.74,780.40,219.25,"1,495",604.10,948.35,"1,495","25,450.00",780,9.30,28.95,650,-,-,-,-,-,-,
,"1,015",273,"1,272",9.96,734.90,169.70,65,732.25,742.75,65,"25,500.00",65,14.00,14.35,260,-10.00,14.35,9.92,"38,365","3,762","11,048",
,10,5,13,9.04,682.65,201.15,130,681.10,699.55,65,"25,550.00",65,16.05,16.10,520,-12.50,16.05,9.63,"12,881","1,176","2,010",
,410,-26,455,9.48,639.75,160.50,390,637.20,648.60,65,"25,600.00",195,17.50,18.25,195,-17.40,18.15,9.35,"43,083","3,916","8,186",
,19,-4,43,9.09,591.50,159.15,130,591.55,602.65,260,"25,650.00",65,20.55,21.65,65,-20.70,21.60,9.19,"10,128","1,211","1,934",
,581,144,"1,106",9.34,549.70,154.95,910,541.95,555.00,260,"25,700.00","1,235",24.50,25.50,65,-26.60,24.75,8.93,"38,369","4,623","10,567",
,67,-2,165,8.96,502.60,144.65,130,500.30,510.55,65,"25,750.00",910,28.65,30.05,65,-32.25,29.50,8.78,"15,587","1,181","2,563",
,"3,654",183,"5,697",8.89,459.70,142.75,65,457.70,466.30,130,"25,800.00",130,35.05,36.25,260,-38.10,36.05,8.69,"42,356","5,093","13,936",
,335,38,"1,130",8.50,413.80,130.30,65,400.10,430.00,65,"25,850.00",65,41.45,42.65,65,-46.05,42.45,8.51,"16,690","2,053","3,529",
,"2,258","-1,199","12,055",8.64,376.25,129.20,325,372.80,377.40,65,"25,900.00",260,50.25,51.00,260,-55.50,51.00,8.39,"41,632","4,977","9,895",
,"1,118",-414,"8,031",8.39,334.65,117.05,585,334.00,338.35,65,"25,950.00",130,60.05,61.55,65,-63.20,61.15,8.28,"18,439","1,751","3,052",
,"14,347","1,695","60,383",8.39,298.65,112.25,130,297.50,298.95,65,"26,000.00",195,72.35,74.20,195,-71.70,72.70,8.16,"90,082","9,228","21,078",
,"1,686",-151,"17,562",8.38,264.50,102.40,130,261.05,264.85,195,"26,050.00",260,87.00,87.80,"1,755",-78.25,87.35,8.10,"20,159","3,588","4,490",
,"5,796","-7,095","66,061",8.17,229.00,92.15,65,229.00,229.45,65,"26,100.00",260,102.80,103.55,260,-87.95,103.55,8.01,"56,147","1,816","10,409",
,"2,983","1,683","20,220",8.10,197.95,83.70,260,197.05,197.95,260,"26,150.00",260,121.35,122.25,390,-95.85,121.75,7.91,"14,072","2,240","2,772",
,"13,413","3,195","92,075",7.99,168.70,73.55,455,168.70,169.25,260,"26,200.00",325,142.55,143.00,65,-106.30,142.95,7.83,"32,914","2,546","6,927",
,"3,096","1,557","20,687",7.93,142.95,65.20,260,142.40,143.20,520,"26,250.00",260,166.35,168.65,260,-111.35,167.55,7.81,"5,873",734,"1,158",
,"29,497","22,345","79,071",7.87,119.70,57.40,65,119.00,120.00,325,"26,300.00",260,192.05,194.50,260,-122.95,193.85,7.73,"15,432","2,046","3,491",
,"3,066","1,232","19,916",7.73,97.40,47.10,260,96.50,97.45,260,"26,350.00",130,220.00,223.65,65,-128.75,222.00,7.62,"1,397",299,398,
,"14,220","7,451","52,433",7.70,79.70,39.55,325,78.85,79.10,65,"26,400.00",130,250.05,254.95,325,-141.30,253.25,7.53,"4,207","1,131","1,912",
,"2,600","1,431","17,265",7.58,63.00,31.35,65,62.30,64.00,65,"26,450.00",390,284.90,290.25,260,-149.70,287.20,7.45,731,350,399,
,"12,260","3,884","59,089",7.51,49.50,24.00,130,49.30,50.40,65,"26,500.00","9,750",322.00,323.00,520,-150.10,322.95,7.33,"8,228","2,973","4,180",
,"2,084","1,449","16,542",7.51,39.20,19.60,325,36.70,39.20,"5,720","26,550.00",910,300.05,386.00,65,-173.75,359.55,7.08,110,50,80,
,"15,430","7,107","60,432",7.54,31.00,15.55,65,30.20,31.00,"1,235","26,600.00",65,367.15,408.90,260,-155.30,409.50,7.76,388,70,742,
,"1,334","1,334","6,955",7.56,24.20,-179.55,65,23.50,24.50,65,"26,650.00",130,439.15,456.80,390,-174.65,453.45,7.90,72,35,57,
,"10,273","5,471","47,688",7.54,18.30,8.15,130,18.15,19.20,130,"26,700.00",65,490.00,494.35,65,-165.95,494.25,7.59,560,241,308,
,406,406,"1,169",7.60,14.25,-164.55,650,12.80,14.85,"1,235","26,750.00",130,409.75,553.90,130,-183.95,523.75,-,1,-,5,
,"7,612","5,334","33,062",7.64,10.90,3.20,130,10.90,11.60,"1,105","26,800.00",130,567.30,590.70,130,-158.05,588.95,8.07,126,20,59,
,"1,732",487,"7,204",7.69,8.35,2.10,"1,300",8.25,10.45,"3,315","26,850.00",650,494.25,689.00,390,-125.20,689.05,13.49,16,4,11,
,"4,448","4,448","13,689",7.83,6.70,-137.00,325,6.35,6.75,65,"26,900.00",130,647.85,699.65,130,-151.20,688.10,9.03,32,9,20,
,"1,260",601,"3,950",8.03,5.65,0.40,260,5.25,6.00,65,"26,950.00",130,718.25,834.05,130,-235.80,717.20,-,1,-,2,
,"17,969","9,489","41,813",8.25,4.85,-0.05,260,4.85,4.95,"1,105","27,000.00",195,774.40,782.45,130,-155.20,784.00,9.36,213,81,175,
,-,-,-,-,-,-,"1,560",2.70,9.00,650,"27,050.00",650,686.15,996.20,"1,495",-263.80,813.75,-,1,-,4,
,"5,210","4,044","13,699",8.48,3.10,-0.75,520,2.90,3.25,260,"27,100.00",130,732.60,986.30,130,-174.10,882.85,10.13,26,11,14,
,106,102,361,8.84,3.00,-0.35,65,2.80,4.15,"3,250","27,150.00",650,753.00,"1,041.40",650,-267.00,912.65,-,1,-,1,
,"1,002",843,"4,747",9.16,2.85,-1.00,"1,625",2.30,3.40,260,"27,200.00",130,967.70,989.60,130,-259.65,965.80,-,8,3,4,
,93,73,205,9.43,2.60,-0.90,130,2.30,3.35,"3,250","27,250.00",130,"1,017.30","1,034.70",130,-183.70,"1,030.50",11.01,3,1,3,
,452,359,"3,161",9.59,2.20,-1.05,"1,820",2.00,2.20,"1,040","27,300.00",130,"1,065.15","1,085.40",130,25.30,"1,057.85",-,3,2,3,
,202,195,572,9.87,2.05,-0.65,"1,300",1.85,2.85,"2,600","27,350.00",130,"1,115.60","1,141.05",130,-265.40,"1,107.70",-,1,-,1,
,"1,288",732,"4,386",10.27,2.10,-0.65,"3,445",2.10,2.35,390,"27,400.00",650,"1,148.45","1,191.40",260,-262.20,"1,157.00",-,1,-,1,
,73,46,215,10.32,1.65,-0.90,"1,560",1.50,2.55,"2,600","27,450.00",260,"1,214.50","1,241.20",260,-259.90,"1,208.45",-,1,-,1,
,"6,110",945,"14,718",10.79,1.80,-1.15,"6,760",1.65,1.80,"1,820","27,500.00",585,"1,226.55","1,279.50",390,-231.95,"1,275.80",11.64,88,24,45,
,276,264,549,10.81,1.40,-2.15,"1,300",1.40,1.45,65,"27,550.00",650,"1,132.20","1,454.55",650,-264.60,"1,307.80",-,1,-,1,
